Course name,Course duration,Course start date,Class day,Course fee,Fee type,Course Outline / Summary,Source Image
WOMEN LEADERSHIP DEVELOPMENT PROGRAM,5 Days,2025-02-17,,,,A women in leadership is a powerful force for change empowering others to thrive and driving organizations towards greater equity innovation and success,test_courses\course_1.jpg
Certified Mental Health Counselor,3-Month Duration,2024-10-12,Saturday,20000.0,One-time,,test_courses\course_10.jpg
amazon WHOLESALE FBA,2-Month,2024-10-13,Sunday,12000.0,One-time,"Amazon Basics, Product Analysis, How to source products, Shipment creation/Logistics, Brand Approval",test_courses\course_11.jpg
GRAPHIC DESIGNER,,,,,Free,"Poster Making, Flyers Design, Logo Design, Business Card, Social Media Post, Picture Editing, Vector Tracing, Typography",test_courses\course_12.jpg
DIGITAL MARKETING (with AI Tools),3-Month,,Sunday,15000.0,One-time,"Social Media Marketing, Google Ads, YouTube Marketing, Pay Per Click (PPC), Google Analytic, Search Engine optimization (SEO), Affiliate Marketing, Freelancing, Email Marketing",test_courses\course_13.jpg
GENERATIVE AI PROMPT ENGINEERING,2-Month,,,16000.0,One-time,"Dive into the world of Generative AI,Master the art of Prompt Engineering,Enhance your skills in AI, GPT & NLP,Interactive Lectures with Case-Studies,Hands-on Sessions,Practical Exercise,Industry Project",test_courses\course_14.jpg
Data Visualization and Analysis in Tableau,2-Month,,,16000.0,One-time,Master the art of data visualization & analysisLearn from scratch; from basic chart creationAdvance to storytelling & dashboard designDevelop Data Analytics Practical Skills in full 48-hours of:Interactive Lectures withHands-on SessionsCase-StudiesPractical ExerciseIndustry Project,test_courses\course_15.jpg
SOCIAL MEDIA MARKETING,2-Month,2024-09-07,Saturday,10000.0,One-time,"Facebook Ads, Instagram Ads, Linkedin Optimization, Community Building and Engagement",test_courses\course_16.jpg
PYTHON PROGRAMMING BASIC TO ADVANCE,3-Month,,Saturday,18000.0,One-time,"Python Fundamentals, Python Intermediate Level, Adv. Python Concepts, Applications & Frameworks, Capstone Project",test_courses\course_17.jpg
PROFESSIONAL CYBER SECURITY JOB TRAINING - Level 1,,2024-08-11,Sunday,,,,test_courses\course_18.jpg
